demographic_id,age_group,visitor_demographics
1,18-35, Music Enthusiasts
2,18-30, EDM Fans
3,18-40, International Attendees
4,20-40, Rock Fans
5,16-35, Rock and Indie Fans
6,30-60, Jazz Enthusiasts
7,18-35, Pop and Indie Fans
8,18-30, Electronic and Rock Fans
9,20-40, Indie and Electronic Music Lovers
10,18-35, Alternative Music Fans
11,18-35, Diverse Music Genres
12,16-30, Pop and Rock Fans
13,18-35, Rock and Electronic Fans
14,18-40, Rock Enthusiasts
15,20-40, Electronic Music Fans
16,18-45, Metal Fans
17,18-35, Rock and Pop Fans
18,18-35, Indie and Alternative Music Fans
19,18-40, Diverse Music and Arts Fans
20,18-35, Music and Action Sports Fans
21,18-40, Indie and Folk Music Fans
22,20-45, Metal and Hardcore Fans
23,18-30, Electronic and Indie Music Fans
24,18-35, EDM Fans
25,18-40, Indie and Electronic Fans
26,18-35, Rock and Alternative Fans
27,18-35, Electronic and Urban Music Fans
28,18-35, Pop and Rock Fans
29,18-35, Electronic and Indie Fans
30,18-35, Electronic and Dance Fans
31,18-35, Electronic and Rock Fans
32,18-40, Rock and Alternative Fans
33,18-40, Electronic and Rock Fans
34,25-60, Jazz Fans
35,18-35, Electronic and Alternative Fans
36,18-35, Emerging Artists and Indie Fans
37,18-40, Rock and Pop Fans
38,18-50, Classical and Jazz Fans
39,18-35, LGBTQ+ and Pop Fans
40,18-35, EDM and Techno Fans
41,18-45, Stoner Rock and Metal Fans
42,18-35, Dark and Electronic Fans
43,25-60, Classical and Jazz Fans
44,18-35, Indie and Rock Fans
45,25-60, Folk and Celtic Music Fans
46,25-60, Classical Music Fans
47,18-30, EDM and Beach Fans
48,18-35, Folk and Acoustic Fans
49,18-35, Classical and Opera Fans
50,18-35, Fado and Pop Fans
51,18-40, Classical and Electronic Fans
52,18-35, Folk Metal Fans
53,18-35, EDM and Pop Fans
54,18-35, Rock and Folk Fans
55,18-40, Electronic and Indie Fans
56,18-35, Rock and Jazz Fans
57,18-40, Diverse Music Genres
58,18-40, Rock and Electronic Fans
59,18-35, Alternative and Indie Fans
60,18-35, Rock and EDM Fans
61,18-35, Fado and Indie Fans
62,18-40, Rock and Jazz Fans
63,18-35, Pop and Jazz Fans
64,18-40, Jazz and Electronic Fans
65,18-60, Classical and Choral Fans
